順位,ポケモン,調整1位,性格1位,性格2位,性格3位,特性1位,特性2位,特性3位,技1位,技2位,技3位,技4位,技5位,道具1位,道具2位,道具3位,道具4位,道具5位
"40位"," ペリッパー","32-0-32-0-2-0(16.60%)","ひかえめC↑A↓ (16.60%)","のんきB↑S↓ (14.30%)","ずぶといB↑A↓ (7.00%)","あめふらし (99.80%)","するどいめ (0.10%)","あめうけざら (0.10%)","ぼうふう (96.90%)","とんぼがえり (88.50%)","れいとうビーム (53.20%)","なみのり (48.00%)","ウェザーボール (33.70%)","オボンのみ (38.50%)","きあいのタスキ (34.50%)","こだわりスカーフ (5.80%)","たべのこし (4.60%)","しんぴのしずく (3.00%)"
"41位"," マンムー","2-32-0-0-0-32(44.00%)","いじっぱりA↑C↓ (68.80%)","ようきS↑C↓ (26.20%)","わんぱくB↑C↓ (1.30%)","あついしぼう (73.40%)","どんかん (25.30%)","ゆきがくれ (1.20%)","じしん (99.00%)","こおりのつぶて (92.00%)","つららばり (62.90%)","ステルスロック (45.50%)","がんせきふうじ (30.60%)","きあいのタスキ (80.00%)","こだわりスカーフ (5.90%)","オボンのみ (4.00%)","とけないこおり (2.70%)","ラムのみ (2.00%)"
"42位"," ハラバリー","31-0-3-0-32-0(13.10%)","おだやかD↑A↓ (51.50%)","なまいきD↑S↓ (15.50%)","ひかえめC↑A↓ (12.80%)","でんきにかえる (99.00%)","せいでんき (0.80%)","しめりけ (0.20%)","パラボラチャージ (92.80%)","みずびたし (80.00%)","ボルトチェンジ (72.60%)","なまける (67.50%)","どくどく (29.80%)","オボンのみ (41.50%)","たべのこし (33.00%)","じしゃく (14.80%)","シュカのみ (6.00%)","ラムのみ (1.50%)"
"43位"," カビゴン","32-0-32-0-2-0(15.00%)","しんちょうD↑C↓ (48.00%)","わんぱくB↑C↓ (26.70%)","いじっぱりA↑C↓ (14.30%)","あついしぼう (90.50%)","めんえき (8.10%)","くいしんぼう (1.20%)","あくび (68.50%)","じしん (65.10%)","のしかかり (46.40%)","まもる (40.50%)","ねむる (23.00%)","たべのこし (61.40%)","カゴのみ (14.30%)","オボンのみ (12.10%)","ラムのみ (4.00%)","ヨプのみ (2.50%)"
"44位"," カメックス","5-0-0-32-0-29(25.50%)","ひかえめC↑A↓ (84.90%)","おくびょうS↑A↓ (9.60%)","ずぶといB↑A↓ (1.20%)","げきりゅう (82.10%)","あめうけざら (17.70%)","-","からをやぶる (92.10%)","みずのはどう (79.00%)","はどうだん (68.00%)","れいとうビーム (49.70%)","あくのはどう (30.30%)","カメックスナイト (88.90%)","しろいハーブ (6.80%)","ラムのみ (0.80%)","オボンのみ (0.60%)","きあいのタスキ (0.60%)"
"45位"," ウツボット","32-2-0-32-0-0(27.80%)","れいせいC↑S↓ (32.20%)","いじっぱりA↑C↓ (25.30%)","ひかえめC↑A↓ (19.70%)","ようりょくそ (94.40%)","くいしんぼう (5.50%)","-","ちからをすいとる (97.60%)","ふいうち (69.10%)","ギガドレイン (56.90%)","ヘドロウェーブ (41.00%)","どくづき (19.30%)","ウツボットナイト (98.40%)","たべのこし (0.20%)","オボンのみ (0.20%)","ラムのみ (0.10%)","きあいのタスキ (0.10%)"
"46位"," エンペルト","32-0-2-0-32-0(53.50%)","なまいきD↑S↓ (32.70%)","おだやかD↑A↓ (22.00%)","ひかえめC↑A↓ (14.80%)","かちき (53.50%)","げきりゅう (46.50%)","-","ステルスロック (86.00%)","あくび (83.80%)","クイックターン (72.50%)","なみのり (71.00%)","れいとうビーム (24.20%)","たべのこし (30.80%)","オボンのみ (27.50%)","ヨプのみ (17.80%)","シュカのみ (13.00%)","きあいのタスキ (3.40%)"
"47位"," ドリュウズ","2-32-0-0-0-32(47.90%)","ようきS↑C↓ (61.90%)","いじっぱりA↑C↓ (35.40%)","しんちょうD↑C↓ (1.10%)","かたやぶり (83.10%)","すなかき (15.60%)","すなのちから (1.20%)","じしん (98.00%)","アイアンヘッド (95.00%)","いわなだれ (55.20%)","つのドリル (31.00%)","つるぎのまい (26.50%)","きあいのタスキ (37.00%)","こだわりスカーフ (35.50%)","ドリュウズナイト (14.80%)","やわらかいすな (2.70%)","ラムのみ (2.00%)"
"48位"," ホルード","1-32-1-0-0-32(37.90%)","いじっぱりA↑C↓ (83.50%)","ようきS↑C↓ (15.30%)","ゆうかんA↑S↓ (0.20%)","ちからもち (99.60%)","ほおぶくろ (0.20%)","ものひろい (0.20%)","じしん (99.80%)","でんこうせっか (87.90%)","れいとうパンチ (81.00%)","かみなりパンチ (34.00%)","ほのおのパンチ (16.00%)","きあいのタスキ (81.10%)","こだわりスカーフ (9.30%)","ラムのみ (3.50%)","オボンのみ (1.20%)","やわらかいすな (0.50%)"
"49位"," エアームド","32-0-32-0-2-0(14.80%)","わんぱくB↑C↓ (45.50%)","ようきS↑C↓ (27.80%)","いじっぱりA↑C↓ (15.30%)","がんじょう (74.50%)","くだけるよろい (24.30%)","するどいめ (1.00%)","はねやすめ (57.20%)","ステルスロック (48.70%)","ボディプレス (43.20%)","ブレイブバード (41.00%)","つるぎのまい (30.30%)","エアームドナイト (40.20%)","たべのこし (20.30%)","オボンのみ (18.00%)","メンタルハーブ (6.50%)","ひかりのこな (4.30%)"
"50位"," サーナイト","32-0-11-5-0-18(24.50%)","ひかえめC↑A↓ (70.40%)","おくびょうS↑A↓ (23.60%)","おだやかD↑A↓ (2.50%)","トレース (91.10%)","シンクロ (8.00%)","テレパシー (0.80%)","ハイパーボイス (70.50%)","しんくうは (60.70%)","サイコキネシス (55.00%)","めいそう (40.00%)","マジカルフレイム (36.20%)","サーナイトナイト (78.50%)","こだわりスカーフ (11.50%)","きあいのタスキ (4.50%)","オボンのみ (1.20%)","せんせいのツメ (0.60%)"
